Time(s),TotalHemorrhageRate(mL/s),TotalHemorrhagedVolume(mL),HeartRate(1/min),MeanArterialPressure(mmHg),BloodVolume(mL)
150.00,1,119.980,72.805,95.212,5375.274
151.00,1,120.980,72.828,95.216,5374.318
152.00,1,121.980,72.851,95.217,5373.360
153.00,1,122.980,72.875,95.216,5372.404
154.00,1,123.980,72.898,95.199,5371.449
155.00,1,124.980,72.945,95.203,5370.494
156.00,1,125.980,72.969,95.208,5369.537
157.00,1,126.980,72.993,95.209,5368.580
158.00,1,127.980,73.017,95.208,5367.624
159.00,1,128.980,73.065,95.192,5366.670
160.00,1,129.980,73.090,95.196,5365.714
161.00,1,130.980,73.115,95.202,5364.756
162.00,1,131.980,73.139,95.203,5363.800
163.00,1,132.980,73.164,95.201,5362.845
164.00,1,133.980,73.213,95.184,5361.891
165.00,1,134.980,73.238,95.190,5360.934
166.00,1,135.980,73.263,95.196,5359.977
167.00,1,136.980,73.288,95.197,5359.021
168.00,1,137.980,73.336,95.173,5358.067
169.00,1,138.980,73.361,95.179,5357.111
170.00,1,139.980,73.386,95.182,5356.154
171.00,1,140.980,73.411,95.187,5355.197
172.00,1,141.980,73.435,95.188,5354.243
173.00,1,142.980,73.484,95.171,5353.289
174.00,1,143.980,73.508,95.172,5352.332
175.00,1,144.980,73.532,95.173,5351.375
176.00,1,145.980,73.557,95.177,5350.419
177.00,1,146.980,73.606,95.177,5349.465
178.00,1,147.980,73.630,95.170,5348.510
179.00,1,148.980,73.654,95.166,5347.553
180.00,1,149.980,73.678,95.164,5346.596
181.00,1,150.980,73.702,95.168,5345.641
182.00,1,151.980,73.751,95.168,5344.687
183.00,1,152.980,73.775,95.167,5343.731
184.00,1,153.980,73.798,95.160,5342.774
185.00,1,154.980,73.822,95.156,5341.818
186.00,1,155.980,73.870,95.160,5340.864
187.00,1,156.980,73.894,95.160,5339.910
188.00,1,157.980,73.918,95.159,5338.953
189.00,1,158.980,73.942,95.152,5337.996
190.00,1,159.980,73.966,95.148,5337.041
191.00,1,160.980,74.014,95.153,5336.088
192.00,1,161.980,74.038,95.153,5335.132
193.00,1,162.980,74.061,95.152,5334.175
194.00,1,163.980,74.085,95.144,5333.219
195.00,1,164.980,74.119,96.002,5332.265
196.00,1,165.980,74.106,96.000,5331.310
197.00,1,166.980,74.073,95.842,5330.353
198.00,1,167.980,74.024,95.165,5329.398
199.00,1,168.980,73.980,94.567,5328.445
200.00,1,169.980,73.961,94.462,5327.492
201.00,1,170.980,73.986,94.596,5326.536
202.00,1,171.980,74.026,94.753,5325.579
203.00,1,172.980,74.076,94.898,5324.624
204.00,1,173.980,74.174,95.951,5323.670
205.00,1,174.980,74.193,96.010,5322.714
206.00,1,175.980,74.188,95.895,5321.757
207.00,1,176.980,74.165,95.710,5320.802
208.00,1,177.980,74.087,95.332,5319.849
209.00,1,178.980,74.045,95.208,5318.894
210.00,1,179.980,74.006,94.654,5317.939
211.00,1,180.980,73.986,94.217,5316.985
212.00,1,181.980,74.035,94.351,5316.032
213.00,1,182.980,74.094,94.535,5315.078
214.00,1,183.980,74.168,95.222,5314.121
215.00,1,184.980,74.236,95.786,5313.164
216.00,1,185.980,74.282,95.926,5312.210
217.00,1,186.980,74.306,95.717,5311.256
218.00,1,187.980,74.293,95.541,5310.299
219.00,1,188.980,74.271,95.382,5309.344
220.00,1,189.980,74.246,95.254,5308.391
221.00,1,190.980,74.201,95.101,5307.438
222.00,1,191.980,74.184,95.064,5306.482
223.00,1,192.980,74.172,95.047,5305.526
224.00,1,193.980,74.166,95.037,5304.573
225.00,1,194.980,74.169,95.058,5303.620
226.00,1,195.980,74.177,95.074,5302.664
227.00,1,196.980,74.188,95.090,5301.709
228.00,1,197.980,74.201,95.103,5300.755
229.00,1,198.980,74.233,95.112,5299.802
230.00,1,199.980,74.251,95.120,5298.846
231.00,1,200.980,74.270,95.130,5297.890
232.00,1,201.980,74.289,95.135,5296.937
233.00,1,202.980,74.329,95.119,5295.984
234.00,1,203.980,74.349,95.123,5295.028
235.00,1,204.980,74.370,95.126,5294.072
236.00,1,205.980,74.392,95.131,5293.119
237.00,1,206.980,74.435,95.130,5292.166
238.00,1,207.980,74.457,95.109,5291.210
239.00,1,208.980,74.479,95.113,5290.255
240.00,1,209.980,74.501,95.116,5289.301
241.00,1,210.980,74.547,95.121,5288.348
242.00,1,211.980,74.570,95.120,5287.392
243.00,1,212.980,74.593,95.117,5286.437
244.00,1,213.980,74.616,95.109,5285.484
245.00,1,214.980,74.663,95.106,5284.531
246.00,1,215.980,74.687,95.107,5283.575
247.00,1,216.980,74.711,95.107,5282.620
248.00,1,217.980,74.735,95.106,5281.666
249.00,1,218.980,74.784,95.096,5280.713
250.00,1,219.980,74.808,95.099,5279.757
251.00,1,220.980,74.833,95.101,5278.802
252.00,1,221.980,74.858,95.101,5277.849
253.00,1,222.980,74.907,95.088,5276.896
254.00,1,223.980,74.932,95.088,5275.940
255.00,1,224.980,74.957,95.089,5274.986
256.00,1,225.980,74.982,95.094,5274.032
257.00,1,226.980,75.032,95.096,5273.080
258.00,1,227.980,75.057,95.077,5272.124
259.00,1,228.980,75.082,95.082,5271.169
260.00,1,229.980,75.107,95.085,5270.216
261.00,1,230.980,75.157,95.091,5269.263
262.00,1,231.980,75.182,95.090,5268.307
263.00,1,232.980,75.207,95.069,5267.353
264.00,1,233.980,75.232,95.074,5266.400
265.00,1,234.980,75.281,95.082,5265.447
266.00,1,235.980,75.306,95.083,5264.491
267.00,1,236.980,75.331,95.082,5263.537
268.00,1,237.980,75.355,95.079,5262.584
269.00,1,238.980,75.403,95.067,5261.631
270.00,1,239.980,75.427,95.069,5260.676
