Time(s),TotalHemorrhageRate(mL/s),TotalHemorrhagedVolume(mL),HeartRate(1/min),MeanArterialPressure(mmHg),BloodVolume(mL)
0.00,0,0,72.000,95.323,5488.939
1.00,0,0,72.002,95.325,5488.978
2.00,0,0,72.004,95.331,5489.018
3.00,0,0,72.008,95.332,5489.060
4.00,0,0,72.009,95.318,5489.100
5.00,0,0,72.011,95.320,5489.138
6.00,0,0,72.012,95.322,5489.177
7.00,0,0,72.013,95.328,5489.217
8.00,0,0,72.016,95.331,5489.258
9.00,0,0,72.017,95.319,5489.298
10.00,0,0,72.018,95.320,5489.337
11.00,0,0,72.019,95.322,5489.375
12.00,0,0,72.020,95.328,5489.415
13.00,0,0,72.022,95.331,5489.456
14.00,0,0,72.022,95.320,5489.497
15.00,0,0,72.023,95.321,5489.536
16.00,0,0,72.023,95.322,5489.574
17.00,0,0,72.024,95.328,5489.613
18.00,0,0,72.025,95.331,5489.654
19.00,0,0,72.025,95.322,5489.696
20.00,0,0,72.025,95.321,5489.734
21.00,0,0,72.026,95.326,5489.773
22.00,0,0,72.026,95.330,5489.812
23.00,0,0,72.026,95.331,5489.852
24.00,0,0,72.026,95.322,5489.894
25.00,0,0,72.026,95.321,5489.933
26.00,0,0,72.026,95.326,5489.971
27.00,0,0,72.026,95.329,5490.010
28.00,0,0,72.026,95.331,5490.051
29.00,0,0,72.025,95.323,5490.092
30.00,0,0,72.025,95.322,5490.132
31.00,1,0.980,72.024,95.543,5489.170
32.00,1,1.980,72.018,95.944,5488.209
33.00,1,2.980,71.994,96.011,5487.249
34.00,1,3.980,71.896,95.758,5486.291
35.00,1,4.980,71.832,95.601,5485.333
36.00,1,5.980,71.765,95.475,5484.373
37.00,1,6.980,71.699,95.381,5483.413
38.00,1,7.980,71.638,95.319,5482.454
39.00,1,8.980,71.583,95.285,5481.497
40.00,1,9.980,71.490,95.267,5480.540
41.00,1,10.980,71.454,95.282,5479.581
42.00,1,11.980,71.422,95.300,5478.622
43.00,1,12.980,71.395,95.317,5477.663
44.00,1,13.980,71.371,95.331,5476.706
45.00,1,14.980,71.331,95.344,5475.749
46.00,1,15.980,71.314,95.354,5474.791
47.00,1,16.980,71.299,95.359,5473.831
48.00,1,17.980,71.286,95.361,5472.873
49.00,1,18.980,71.273,95.360,5471.915
50.00,1,19.980,71.252,95.348,5470.959
51.00,1,20.980,71.244,95.350,5470.002
52.00,1,21.980,71.237,95.349,5469.042
53.00,1,22.980,71.231,95.347,5468.083
54.00,1,23.980,71.226,95.339,5467.126
55.00,1,24.980,71.220,95.332,5466.169
56.00,1,25.980,71.219,95.335,5465.213
57.00,1,26.980,71.219,95.335,5464.254
58.00,1,27.980,71.220,95.334,5463.295
59.00,1,28.980,71.222,95.319,5462.337
60.00,1,29.980,71.226,95.321,5461.381
61.00,1,30.980,71.236,95.326,5460.425
62.00,1,31.980,71.242,95.327,5459.467
63.00,1,32.980,71.249,95.325,5458.508
64.00,1,33.980,71.257,95.303,5457.550
65.00,1,34.980,71.266,95.310,5456.593
66.00,1,35.980,71.287,95.318,5455.637
67.00,1,36.980,71.299,95.319,5454.680
68.00,1,37.980,71.311,95.317,5453.721
69.00,1,38.980,71.323,95.288,5452.763
70.00,1,39.980,71.337,95.299,5451.806
71.00,1,40.980,71.366,95.311,5450.850
72.00,1,41.980,71.381,95.311,5449.894
73.00,1,42.980,71.397,95.309,5448.935
74.00,1,43.980,71.413,95.286,5447.976
75.00,1,44.980,71.429,95.292,5447.019
76.00,1,45.980,71.465,95.299,5446.063
77.00,1,46.980,71.483,95.300,5445.107
78.00,1,47.980,71.501,95.298,5444.149
79.00,1,48.980,71.519,95.281,5443.190
80.00,1,49.980,71.539,95.283,5442.233
81.00,1,50.980,71.558,95.284,5441.277
82.00,1,51.980,71.599,95.290,5440.321
83.00,1,52.980,71.619,95.288,5439.364
84.00,1,53.980,71.640,95.274,5438.405
85.00,1,54.980,71.661,95.274,5437.447
86.00,1,55.980,71.682,95.275,5436.491
87.00,1,56.980,71.726,95.281,5435.536
88.00,1,57.980,71.748,95.280,5434.578
89.00,1,58.980,71.770,95.267,5433.620
90.00,1,59.980,71.793,95.266,5432.662
91.00,1,60.980,71.815,95.267,5431.705
92.00,1,61.980,71.861,95.273,5430.750
93.00,1,62.980,71.885,95.272,5429.794
94.00,1,63.980,71.908,95.260,5428.835
95.00,1,64.980,71.931,95.259,5427.877
96.00,1,65.980,71.954,95.262,5426.920
97.00,1,66.980,72.002,95.264,5425.964
98.00,1,67.980,72.025,95.262,5425.009
99.00,1,68.980,72.049,95.253,5424.051
100.00,1,69.980,72.073,95.250,5423.092
101.00,1,70.980,72.097,95.254,5422.135
102.00,1,71.980,72.121,95.255,5421.180
103.00,1,72.980,72.169,95.254,5420.224
104.00,1,73.980,72.193,95.246,5419.267
105.00,1,74.980,72.217,95.243,5418.308
106.00,1,75.980,72.242,95.246,5417.351
107.00,1,76.980,72.266,95.247,5416.395
108.00,1,77.980,72.315,95.666,5415.440
109.00,1,78.980,72.327,96.000,5414.482
110.00,1,79.980,72.318,95.980,5413.523
111.00,1,80.980,72.291,95.827,5412.566
112.00,1,81.980,72.251,95.636,5411.611
113.00,1,82.980,72.171,94.549,5410.657
114.00,1,83.980,72.162,94.466,5409.701
115.00,1,84.980,72.179,94.565,5408.743
116.00,1,85.980,72.216,94.736,5407.786
117.00,1,86.980,72.267,94.913,5406.830
118.00,1,87.980,72.388,95.598,5405.875
119.00,1,88.980,72.436,96.011,5404.917
120.00,1,89.980,72.460,96.041,5403.958
121.00,1,90.980,72.461,95.913,5403.001
122.00,1,91.980,72.418,95.544,5402.046
123.00,1,92.980,72.386,95.387,5401.091
124.00,1,93.980,72.354,95.263,5400.133
125.00,1,94.980,72.325,95.183,5399.176
126.00,1,95.980,72.303,95.142,5398.221
127.00,1,96.980,72.278,94.712,5397.267
128.00,1,97.980,72.288,94.380,5396.311
129.00,1,98.980,72.323,94.412,5395.354
130.00,1,99.980,72.382,95.001,5394.397
131.00,1,100.980,72.444,95.551,5393.440
132.00,1,101.980,72.529,95.729,5392.485
133.00,1,102.980,72.548,95.646,5391.528
134.00,1,103.980,72.556,95.527,5390.570
135.00,1,104.980,72.556,95.418,5389.613
136.00,1,105.980,72.549,95.263,5388.659
137.00,1,106.980,72.546,95.216,5387.704
138.00,1,107.980,72.546,95.186,5386.746
139.00,1,108.980,72.549,95.162,5385.789
140.00,1,109.980,72.555,95.158,5384.834
141.00,1,110.980,72.579,95.177,5383.879
142.00,1,111.980,72.594,95.188,5382.923
143.00,1,112.980,72.611,95.197,5381.965
144.00,1,113.980,72.630,95.194,5381.009
145.00,1,114.980,72.671,95.208,5380.054
146.00,1,115.980,72.693,95.217,5379.099
147.00,1,116.980,72.715,95.222,5378.141
148.00,1,117.980,72.737,95.223,5377.184
149.00,1,118.980,72.759,95.210,5376.229
150.00,1,119.980,72.805,95.212,5375.274
151.00,1,120.980,72.828,95.216,5374.318
152.00,1,121.980,72.851,95.217,5373.360
153.00,1,122.980,72.875,95.216,5372.404
154.00,1,123.980,72.898,95.199,5371.449
155.00,1,124.980,72.945,95.203,5370.494
156.00,1,125.980,72.969,95.208,5369.537
157.00,1,126.980,72.993,95.209,5368.580
158.00,1,127.980,73.017,95.208,5367.624
159.00,1,128.980,73.065,95.192,5366.670
160.00,1,129.980,73.090,95.196,5365.714
161.00,1,130.980,73.115,95.202,5364.756
162.00,1,131.980,73.139,95.203,5363.800
163.00,1,132.980,73.164,95.201,5362.845
164.00,1,133.980,73.213,95.184,5361.891
165.00,1,134.980,73.238,95.190,5360.934
166.00,1,135.980,73.263,95.196,5359.977
167.00,1,136.980,73.288,95.197,5359.021
168.00,1,137.980,73.336,95.173,5358.067
169.00,1,138.980,73.361,95.179,5357.111
170.00,1,139.980,73.386,95.182,5356.154
171.00,1,140.980,73.411,95.187,5355.197
172.00,1,141.980,73.435,95.188,5354.243
173.00,1,142.980,73.484,95.171,5353.289
174.00,1,143.980,73.508,95.172,5352.332
175.00,1,144.980,73.532,95.173,5351.375
176.00,1,145.980,73.557,95.177,5350.419
177.00,1,146.980,73.606,95.177,5349.465
178.00,1,147.980,73.630,95.170,5348.510
179.00,1,148.980,73.654,95.166,5347.553
180.00,1,149.980,73.678,95.164,5346.596
181.00,1,150.980,73.702,95.168,5345.641
182.00,1,151.980,73.751,95.168,5344.687
183.00,1,152.980,73.775,95.167,5343.731
184.00,1,153.980,73.798,95.160,5342.774
185.00,1,154.980,73.822,95.156,5341.818
186.00,1,155.980,73.870,95.160,5340.864
187.00,1,156.980,73.894,95.160,5339.910
188.00,1,157.980,73.918,95.159,5338.953
189.00,1,158.980,73.942,95.152,5337.996
190.00,1,159.980,73.966,95.148,5337.041
191.00,1,160.980,74.014,95.153,5336.088
192.00,1,161.980,74.038,95.153,5335.132
193.00,1,162.980,74.061,95.152,5334.175
194.00,1,163.980,74.085,95.144,5333.219
195.00,1,164.980,74.119,96.002,5332.265
196.00,1,165.980,74.106,96.000,5331.310
197.00,1,166.980,74.073,95.842,5330.353
198.00,1,167.980,74.024,95.165,5329.398
199.00,1,168.980,73.980,94.567,5328.445
200.00,1,169.980,73.961,94.462,5327.492
201.00,1,170.980,73.986,94.596,5326.536
202.00,1,171.980,74.026,94.753,5325.579
203.00,1,172.980,74.076,94.898,5324.624
204.00,1,173.980,74.174,95.951,5323.670
205.00,1,174.980,74.193,96.010,5322.714
206.00,1,175.980,74.188,95.895,5321.757
207.00,1,176.980,74.165,95.710,5320.802
208.00,1,177.980,74.087,95.332,5319.849
209.00,1,178.980,74.045,95.208,5318.894
210.00,1,179.980,74.006,94.654,5317.939
211.00,1,180.980,73.986,94.217,5316.985
212.00,1,181.980,74.035,94.351,5316.032
213.00,1,182.980,74.094,94.535,5315.078
214.00,1,183.980,74.168,95.222,5314.121
215.00,1,184.980,74.236,95.786,5313.164
216.00,1,185.980,74.282,95.926,5312.210
217.00,1,186.980,74.306,95.717,5311.256
218.00,1,187.980,74.293,95.541,5310.299
219.00,1,188.980,74.271,95.382,5309.344
220.00,1,189.980,74.246,95.254,5308.391
221.00,1,190.980,74.201,95.101,5307.438
222.00,1,191.980,74.184,95.064,5306.482
223.00,1,192.980,74.172,95.047,5305.526
224.00,1,193.980,74.166,95.037,5304.573
225.00,1,194.980,74.169,95.058,5303.620
226.00,1,195.980,74.177,95.074,5302.664
227.00,1,196.980,74.188,95.090,5301.709
228.00,1,197.980,74.201,95.103,5300.755
229.00,1,198.980,74.233,95.112,5299.802
230.00,1,199.980,74.251,95.120,5298.846
231.00,1,200.980,74.270,95.130,5297.890
232.00,1,201.980,74.289,95.135,5296.937
233.00,1,202.980,74.329,95.119,5295.984
234.00,1,203.980,74.349,95.123,5295.028
235.00,1,204.980,74.370,95.126,5294.072
236.00,1,205.980,74.392,95.131,5293.119
237.00,1,206.980,74.435,95.130,5292.166
